,Job Title,Company Name,Location,Posted On,Number of Applicants,Link
0,Data Scientist- (For Gildan-G.A.B. Limited) - Job ID: 1269707,Bdjobs.com,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants,https://www.linkedin.com/jobs/view/3970858637/?eBP=CwEAAAGQ_0TPU_ovLf4NIbpJBgCkB3gu0T6oSKgtXSPh4fvlNKKsUqzsvwtBcZDIfV5iA2GGGiW6d2pvhjQ1UCrgUDm-Z-83z8KXtFQi42E2g44HHQm2AOO0SP4_smL_t1fxF5Zw6M7Txkrq3xy71QpWvy69EJphdux8thhKiKvLdJ0ls7kpAdVzDjaoiAaSXAXv0w5oCIa2m4iC71Kjgd57vjlDjWAyq1UuJW457uz3hZ59xPLGsQhoRFYzWWeI8yuI6NLIwaOHi1mGtRaNptiGemHhVPIBZvlbNwLHCssJz0L7Jw2F5bkCi-T4G-WZBBBrXsvw1DfXI1lHxj-eX8TMUWYLFc1TGMviTi_FG7RGrPYCigffJWJeBY253Vi6NYNX8DDabO19tfIabyRjMRfsnfCDnuvhFoWUgeJSn6I5ewC05yKP_SAgc8l_-A6yvHTDQgB95hEBGaAJf0a7X3St5snsOw&refId=U6dy4bMzBB1iNyE85ExcDA%3D%3D&trackingId=2CAKjyNPFS1E8gn0m3vbJw%3D%3D&trk=flagship3_search_srp_jobs
1,Data Scientist- (For Gildan-G.A.B. Limited) - Job ID: 1269707,Bdjobs.com,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants,https://www.linkedin.com/jobs/view/3970858637/?eBP=CwEAAAGQ_0TPU_ovLf4NIbpJBgCkB3gu0T6oSKgtXSPh4fvlNKKsUqzsvwtBcZDIfV5iA2GGGiW6d2pvhjQ1UCrgUDm-Z-83z8KXtFQi42E2g44HHQm2AOO0SP4_smL_t1fxF5Zw6M7Txkrq3xy71QpWvy69EJphdux8thhKiKvLdJ0ls7kpAdVzDjaoiAaSXAXv0w5oCIa2m4iC71Kjgd57vjlDjWAyq1UuJW457uz3hZ59xPLGsQhoRFYzWWeI8yuI6NLIwaOHi1mGtRaNptiGemHhVPIBZvlbNwLHCssJz0L7Jw2F5bkCi-T4G-WZBBBrXsvw1DfXI1lHxj-eX8TMUWYLFc1TGMviTi_FG7RGrPYCigffJWJeBY253Vi6NYNX8DDabO19tfIabyRjMRfsnfCDnuvhFoWUgeJSn6I5ewC05yKP_SAgc8l_-A6yvHTDQgB95hEBGaAJf0a7X3St5snsOw&refId=U6dy4bMzBB1iNyE85ExcDA%3D%3D&trackingId=2CAKjyNPFS1E8gn0m3vbJw%3D%3D&trk=flagship3_search_srp_jobs
2,Data Scientist- (For Gildan-G.A.B. Limited) - Job ID: 1269707,Bdjobs.com,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants,https://www.linkedin.com/jobs/view/3970858637/?eBP=CwEAAAGQ_0TPU_ovLf4NIbpJBgCkB3gu0T6oSKgtXSPh4fvlNKKsUqzsvwtBcZDIfV5iA2GGGiW6d2pvhjQ1UCrgUDm-Z-83z8KXtFQi42E2g44HHQm2AOO0SP4_smL_t1fxF5Zw6M7Txkrq3xy71QpWvy69EJphdux8thhKiKvLdJ0ls7kpAdVzDjaoiAaSXAXv0w5oCIa2m4iC71Kjgd57vjlDjWAyq1UuJW457uz3hZ59xPLGsQhoRFYzWWeI8yuI6NLIwaOHi1mGtRaNptiGemHhVPIBZvlbNwLHCssJz0L7Jw2F5bkCi-T4G-WZBBBrXsvw1DfXI1lHxj-eX8TMUWYLFc1TGMviTi_FG7RGrPYCigffJWJeBY253Vi6NYNX8DDabO19tfIabyRjMRfsnfCDnuvhFoWUgeJSn6I5ewC05yKP_SAgc8l_-A6yvHTDQgB95hEBGaAJf0a7X3St5snsOw&refId=U6dy4bMzBB1iNyE85ExcDA%3D%3D&trackingId=2CAKjyNPFS1E8gn0m3vbJw%3D%3D&trk=flagship3_search_srp_jobs
3,Data Scientist- (For Gildan-G.A.B. Limited) - Job ID: 1269707,Bdjobs.com,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants,https://www.linkedin.com/jobs/view/3970858637/?eBP=CwEAAAGQ_0TPU_ovLf4NIbpJBgCkB3gu0T6oSKgtXSPh4fvlNKKsUqzsvwtBcZDIfV5iA2GGGiW6d2pvhjQ1UCrgUDm-Z-83z8KXtFQi42E2g44HHQm2AOO0SP4_smL_t1fxF5Zw6M7Txkrq3xy71QpWvy69EJphdux8thhKiKvLdJ0ls7kpAdVzDjaoiAaSXAXv0w5oCIa2m4iC71Kjgd57vjlDjWAyq1UuJW457uz3hZ59xPLGsQhoRFYzWWeI8yuI6NLIwaOHi1mGtRaNptiGemHhVPIBZvlbNwLHCssJz0L7Jw2F5bkCi-T4G-WZBBBrXsvw1DfXI1lHxj-eX8TMUWYLFc1TGMviTi_FG7RGrPYCigffJWJeBY253Vi6NYNX8DDabO19tfIabyRjMRfsnfCDnuvhFoWUgeJSn6I5ewC05yKP_SAgc8l_-A6yvHTDQgB95hEBGaAJf0a7X3St5snsOw&refId=U6dy4bMzBB1iNyE85ExcDA%3D%3D&trackingId=2CAKjyNPFS1E8gn0m3vbJw%3D%3D&trk=flagship3_search_srp_jobs
4,Data Scientist- (For Gildan-G.A.B. Limited) - Job ID: 1269707,Bdjobs.com,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants,https://www.linkedin.com/jobs/view/3970858637/?eBP=CwEAAAGQ_0TPU_ovLf4NIbpJBgCkB3gu0T6oSKgtXSPh4fvlNKKsUqzsvwtBcZDIfV5iA2GGGiW6d2pvhjQ1UCrgUDm-Z-83z8KXtFQi42E2g44HHQm2AOO0SP4_smL_t1fxF5Zw6M7Txkrq3xy71QpWvy69EJphdux8thhKiKvLdJ0ls7kpAdVzDjaoiAaSXAXv0w5oCIa2m4iC71Kjgd57vjlDjWAyq1UuJW457uz3hZ59xPLGsQhoRFYzWWeI8yuI6NLIwaOHi1mGtRaNptiGemHhVPIBZvlbNwLHCssJz0L7Jw2F5bkCi-T4G-WZBBBrXsvw1DfXI1lHxj-eX8TMUWYLFc1TGMviTi_FG7RGrPYCigffJWJeBY253Vi6NYNX8DDabO19tfIabyRjMRfsnfCDnuvhFoWUgeJSn6I5ewC05yKP_SAgc8l_-A6yvHTDQgB95hEBGaAJf0a7X3St5snsOw&refId=U6dy4bMzBB1iNyE85ExcDA%3D%3D&trackingId=2CAKjyNPFS1E8gn0m3vbJw%3D%3D&trk=flagship3_search_srp_jobs
5,Data Scientist- (For Gildan-G.A.B. Limited) - Job ID: 1269707,Bdjobs.com,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants,https://www.linkedin.com/jobs/view/3970858637/?eBP=CwEAAAGQ_0TPU_ovLf4NIbpJBgCkB3gu0T6oSKgtXSPh4fvlNKKsUqzsvwtBcZDIfV5iA2GGGiW6d2pvhjQ1UCrgUDm-Z-83z8KXtFQi42E2g44HHQm2AOO0SP4_smL_t1fxF5Zw6M7Txkrq3xy71QpWvy69EJphdux8thhKiKvLdJ0ls7kpAdVzDjaoiAaSXAXv0w5oCIa2m4iC71Kjgd57vjlDjWAyq1UuJW457uz3hZ59xPLGsQhoRFYzWWeI8yuI6NLIwaOHi1mGtRaNptiGemHhVPIBZvlbNwLHCssJz0L7Jw2F5bkCi-T4G-WZBBBrXsvw1DfXI1lHxj-eX8TMUWYLFc1TGMviTi_FG7RGrPYCigffJWJeBY253Vi6NYNX8DDabO19tfIabyRjMRfsnfCDnuvhFoWUgeJSn6I5ewC05yKP_SAgc8l_-A6yvHTDQgB95hEBGaAJf0a7X3St5snsOw&refId=U6dy4bMzBB1iNyE85ExcDA%3D%3D&trackingId=2CAKjyNPFS1E8gn0m3vbJw%3D%3D&trk=flagship3_search_srp_jobs
6,Data Scientist- (For Gildan-G.A.B. Limited) - Job ID: 1269707,Bdjobs.com,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants,https://www.linkedin.com/jobs/view/3970858637/?eBP=CwEAAAGQ_0TPU_ovLf4NIbpJBgCkB3gu0T6oSKgtXSPh4fvlNKKsUqzsvwtBcZDIfV5iA2GGGiW6d2pvhjQ1UCrgUDm-Z-83z8KXtFQi42E2g44HHQm2AOO0SP4_smL_t1fxF5Zw6M7Txkrq3xy71QpWvy69EJphdux8thhKiKvLdJ0ls7kpAdVzDjaoiAaSXAXv0w5oCIa2m4iC71Kjgd57vjlDjWAyq1UuJW457uz3hZ59xPLGsQhoRFYzWWeI8yuI6NLIwaOHi1mGtRaNptiGemHhVPIBZvlbNwLHCssJz0L7Jw2F5bkCi-T4G-WZBBBrXsvw1DfXI1lHxj-eX8TMUWYLFc1TGMviTi_FG7RGrPYCigffJWJeBY253Vi6NYNX8DDabO19tfIabyRjMRfsnfCDnuvhFoWUgeJSn6I5ewC05yKP_SAgc8l_-A6yvHTDQgB95hEBGaAJf0a7X3St5snsOw&refId=U6dy4bMzBB1iNyE85ExcDA%3D%3D&trackingId=2CAKjyNPFS1E8gn0m3vbJw%3D%3D&trk=flagship3_search_srp_jobs
7,Data Scientist- (For Gildan-G.A.B. Limited) - Job ID: 1269707,Bdjobs.com,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants,https://www.linkedin.com/jobs/view/3970858637/?eBP=CwEAAAGQ_0TPU_ovLf4NIbpJBgCkB3gu0T6oSKgtXSPh4fvlNKKsUqzsvwtBcZDIfV5iA2GGGiW6d2pvhjQ1UCrgUDm-Z-83z8KXtFQi42E2g44HHQm2AOO0SP4_smL_t1fxF5Zw6M7Txkrq3xy71QpWvy69EJphdux8thhKiKvLdJ0ls7kpAdVzDjaoiAaSXAXv0w5oCIa2m4iC71Kjgd57vjlDjWAyq1UuJW457uz3hZ59xPLGsQhoRFYzWWeI8yuI6NLIwaOHi1mGtRaNptiGemHhVPIBZvlbNwLHCssJz0L7Jw2F5bkCi-T4G-WZBBBrXsvw1DfXI1lHxj-eX8TMUWYLFc1TGMviTi_FG7RGrPYCigffJWJeBY253Vi6NYNX8DDabO19tfIabyRjMRfsnfCDnuvhFoWUgeJSn6I5ewC05yKP_SAgc8l_-A6yvHTDQgB95hEBGaAJf0a7X3St5snsOw&refId=U6dy4bMzBB1iNyE85ExcDA%3D%3D&trackingId=2CAKjyNPFS1E8gn0m3vbJw%3D%3D&trk=flagship3_search_srp_jobs
8,Data Scientist- (For Gildan-G.A.B. Limited) - Job ID: 1269707,Bdjobs.com,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants,https://www.linkedin.com/jobs/view/3970858637/?eBP=CwEAAAGQ_0TPU_ovLf4NIbpJBgCkB3gu0T6oSKgtXSPh4fvlNKKsUqzsvwtBcZDIfV5iA2GGGiW6d2pvhjQ1UCrgUDm-Z-83z8KXtFQi42E2g44HHQm2AOO0SP4_smL_t1fxF5Zw6M7Txkrq3xy71QpWvy69EJphdux8thhKiKvLdJ0ls7kpAdVzDjaoiAaSXAXv0w5oCIa2m4iC71Kjgd57vjlDjWAyq1UuJW457uz3hZ59xPLGsQhoRFYzWWeI8yuI6NLIwaOHi1mGtRaNptiGemHhVPIBZvlbNwLHCssJz0L7Jw2F5bkCi-T4G-WZBBBrXsvw1DfXI1lHxj-eX8TMUWYLFc1TGMviTi_FG7RGrPYCigffJWJeBY253Vi6NYNX8DDabO19tfIabyRjMRfsnfCDnuvhFoWUgeJSn6I5ewC05yKP_SAgc8l_-A6yvHTDQgB95hEBGaAJf0a7X3St5snsOw&refId=U6dy4bMzBB1iNyE85ExcDA%3D%3D&trackingId=2CAKjyNPFS1E8gn0m3vbJw%3D%3D&trk=flagship3_search_srp_jobs
9,Data Scientist- (For Gildan-G.A.B. Limited) - Job ID: 1269707,Bdjobs.com,"Dhaka, Bangladesh",2 weeks ago,Over 100 applicants,https://www.linkedin.com/jobs/view/3970858637/?eBP=CwEAAAGQ_0TPU_ovLf4NIbpJBgCkB3gu0T6oSKgtXSPh4fvlNKKsUqzsvwtBcZDIfV5iA2GGGiW6d2pvhjQ1UCrgUDm-Z-83z8KXtFQi42E2g44HHQm2AOO0SP4_smL_t1fxF5Zw6M7Txkrq3xy71QpWvy69EJphdux8thhKiKvLdJ0ls7kpAdVzDjaoiAaSXAXv0w5oCIa2m4iC71Kjgd57vjlDjWAyq1UuJW457uz3hZ59xPLGsQhoRFYzWWeI8yuI6NLIwaOHi1mGtRaNptiGemHhVPIBZvlbNwLHCssJz0L7Jw2F5bkCi-T4G-WZBBBrXsvw1DfXI1lHxj-eX8TMUWYLFc1TGMviTi_FG7RGrPYCigffJWJeBY253Vi6NYNX8DDabO19tfIabyRjMRfsnfCDnuvhFoWUgeJSn6I5ewC05yKP_SAgc8l_-A6yvHTDQgB95hEBGaAJf0a7X3St5snsOw&refId=U6dy4bMzBB1iNyE85ExcDA%3D%3D&trackingId=2CAKjyNPFS1E8gn0m3vbJw%3D%3D&trk=flagship3_search_srp_jobs
